block_number,wsteth_eth,stETH_amount,ETH_amount,stEthPerToken
15295768,1.041534809783182469189455333,627741612080174416652939,199061983563621572517758,1081240042351483443
15296032,1.041162179195996184688510766,628058318651887385360793,198028494411407621915465,1081240042351483443
15296296,1.041180888052462449877566542,628062600097683098363381,198086391972888620040342,1081240042351483443
15296560,1.041218825485605625758012138,628143447971857079831130,198226695441624512978950,1081240042351483443
15296824,1.041455053562542865108753176,627663016324208904458673,198793152650596658154864,1081240042351483443
15297088,1.041411307576693978660387074,627768863678577671349047,198693187977771338085302,1081240042351483443
15297352,1.041398580248576344331468135,627796097920778772590305,198663011334266392273105,1081240042351483443
15297616,1.041428539523328256066747599,627724745939446843216561,198731776398558819618154,1081240042351483443
15297880,1.041555308926086498289009796,627422119219244194442991,199023456457498417777039,1081240042351483443
15298144,1.041555084991449220410686394,627431055601932055630382,199025604981253034801175,1081240042351483443
15298408,1.041550697259508551084650207,627441553022520536242028,199015491283232676246425,1081240042351483443
15298672,1.040959287480439421358369145,627371680301818833387137,197202004643749904999457,1081240042351483443
15298936,1.040993272338304409529996519,627289636094637190231096,197278049941108429394366,1081240042351483443
15299200,1.040993213220634761029259607,627291009213655336665345,197278304517646914580845,1081240042351483443
15299464,1.041010829360218492567469184,627174035975769642145253,197294345309356921591972,1081240042351483443
15299728,1.041047622685987716906197420,627088203331409454897722,197377780453812706896325,1081240042351483443
15299992,1.041073950121011337799359353,626967010948979482033461,197418736855507066557097,1081240042351483443
15300256,1.041092492102433375578129926,626923320154246592751393,197460733426070436693736,1081240042351483443
15300520,1.041094598991429087675442133,626926186645215137085378,197467973992130051617782,1081240042351483443
15300784,1.040932855696764303132795249,627128033270850037073549,197046328561995730626289,1081240042351483443
15301048,1.041015407198889741735570169,625412746343685648507014,196753981797734381731181,1081240042351483443
15301312,1.040979513665143407763480354,625470885414760068743695,196664944340736240821382,1081240042351483443
15301576,1.040892627783490675952293714,627291964710145657419505,196642093547536800948058,1081356975097258411
15301840,1.040709257184524672013026247,627654356399044511499892,196211924312399722882976,1081356975097258411
15302104,1.040755016722035630749587654,627541210798882774266709,196311873909666695295666,1081356975097258411
15302368,1.040609021611702766918483576,627878060611596799624100,195986093938858613735351,1081356975097258411
15302632,1.041071590934513624304713630,626993646712144963596406,197082360383696932765148,1081356975097258411
15302896,1.041084934101871084521917510,626963176623215140705340,197112723831893364521918,1081356975097258411
15303160,1.041199370476951768793583142,626694569983762772895599,197371511611098729751717,1081356975097258411
15303424,1.041262892145833340862282057,626310456140375385225963,197441591367858289581233,1081356975097258411
15303688,1.043105785557914222394515491,621847649319261305898666,201745376211198641538909,1081356975097258411
15303952,1.043516384203230673577422749,620818612020017531313211,202738904242612354803039,1081356975097258411
15304216,1.043529413803706562546835812,620804605247653811878082,202776807951759982143279,1081356975097258411
15304480,1.043581768571739232243089646,620672387728132697150249,202904490259856221685943,1081356975097258411
15304744,1.043612778060452717099337860,620606151182596027750022,202984200171557020093818,1081356975097258411
15305008,1.043623019655380623760265735,620613316179541879252096,203020049274475317315177,1081356975097258411
15305272,1.043698408057697202266922432,619858465511788715674763,203019875817433138601745,1081356975097258411
15305536,1.043679532330486825486559610,619906310791029575259254,202973688125337041694279,1081356975097258411
15305800,1.043667649535504171609545665,619957509033408261960224,202951531083981219933727,1081356975097258411
15306064,1.043508008353541738344461010,620159619361528007370000,202496433549856927709051,1081356975097258411
15306328,1.043509655486579257299695200,620161662369351746757796,202502461881544133421191,1081356975097258411
15306592,1.043451135333236523550226593,620309069800337254597654,202360289174397397028813,1081356975097258411
15306856,1.043479581183559989909781507,620323034026200749519219,202457296154338590769732,1081356975097258411
15307120,1.043460843431905260558778537,620353206759762395939403,202406229602256123627423,1081356975097258411
15307384,1.043460611719988051504515170,620353791028261220064953,202405667252266196725318,1081356975097258411
15307648,1.043531081209227773243242154,620408535514533914432650,202652871981923534944431,1081356975097258411
15307912,1.043525079505052355344218995,620400448002636007020598,202630672758721961918426,1081356975097258411
15308176,1.043614060589818759439140194,620466106778945028440483,202575507556399141863677,1081473558583911764
15308440,1.043581515033597861830116926,620548549995824914950426,202496537009218114555961,1081473558583911764
15308704,1.039552738961013300666991199,619307288431549278877524,189989640818995508350334,1081473558583911764
15308968,1.039557633214789555964330248,619299730440761183584468,190000936310339755065221,1081473558583911764
15309232,1.039588736613047625922945372,619231499946711875364763,190066569631083189459290,1081473558583911764
15309496,1.040978420728569497910598329,617685048493279382556287,193553203120913754421585,1081473558583911764
15309760,1.040969739592452647514164710,617675389833652547899208,193524787170363006014588,1081473558583911764
15310024,1.040967413804666730214876225,617486517129971496099251,193458812727967773835953,1081473558583911764
15310288,1.041130784795684549592920121,617189759577157741574947,193844624327724582445860,1081473558583911764
15310552,1.041515642455129286858550586,616297441450853022793932,194702408409321299036376,1081473558583911764
15310816,1.041516707895917326354151555,616294966197373636377238,194704800170255928655026,1081473558583911764
15311080,1.041516111232708929890122818,616296357003276275523891,194703462196064235427023,1081473558583911764
15311344,1.041495630009121597936427861,616346382270359935380482,194658275585537983692390,1081473558583911764
15311608,1.041498170146470503283353537,616340473610417982901743,194663971064697114517763,1081473558583911764
15311872,1.041499332245710007782690809,616337710666463461894721,194666558036129533954471,1081473558583911764
15312136,1.041473201919389746095134797,616421653487120508182252,194615306305462281804055,1081473558583911764
15312400,1.041179676458182434828358964,615962694807653844185189,193602809229474139519508,1081473558583911764
15312664,1.041177639621082118281947260,615967478592515111852628,193598326067949914944306,1081473558583911764
15312928,1.041139027054593046983654858,616056299693212547702248,193512822005317737694349,1081473558583911764
15313192,1.041141054132916243801787459,616051644725728306317311,193517309973551400958750,1081473558583911764
15313456,1.041149508496058695428132523,616032214377666497614488,193536026994256786909365,1081473558583911764
15313720,1.041173348997952663452792876,615963465831086458190638,193584455304099569214884,1081473558583911764
15313984,1.041203424917157338569495550,615972511404133794904081,193675731697271128890399,1081473558583911764
15314248,1.041206867672840319372085105,615967118492665950254308,193684165284634331596828,1081473558583911764
15314512,1.041407487439762524772390861,615812717321605470744808,193896161379069939060696,1081590084528398748
15314776,1.041593618608281257564840416,615381829231729590920158,194311369613937256170436,1081590084528398748
15315040,1.041704334036045009881377155,615124373761002673941663,194559474134864735328234,1081590084528398748
15315304,1.041512199917666858794973450,615120940887311666434302,193987645598715915851127,1081590084528398748
15315568,1.042605906972229545814911944,612547778311625316944714,196468273297189035213625,1081590084528398748
15315832,1.042605906972229545814911944,612547778311625316944714,196468273297189035213625,1081590084528398748
15316096,1.042063138818271950114535684,612552781842643326332904,194818758046421924624250,1081590084528398748
15316360,1.041989694450424330796067807,612725084692157935019396,194652726075310306680133,1081590084528398748
15316624,1.042005969085083139091807425,612706137343159466281434,194695585851098080661147,1081590084528398748
15316888,1.041973280095993770189011229,612753157837403484873868,194612372993775532317717,1081590084528398748
15317152,1.042068440068976586942994800,612518789122284802951042,194823905458683270013888,1081590084528398748
15317416,1.042063527437403269715332499,612534072071508973824565,194813977328416340826362,1081590084528398748
15317680,1.042023736612558204583933730,612622080840018980872363,194722266267145690425975,1081590084528398748
15317944,1.042044426339748808274521252,612573769912116578521935,194769123270394296418741,1081590084528398748
15318208,1.041922406773187370632172133,612859679462810634607983,194493667554488636289546,1081590084528398748
15318472,1.044003250770925372847841572,607837283336117496100350,199339679289290317802452,1081590084528398748
15318736,1.045671641388663530847225047,603559531889185913245582,203463875036553176785190,1081590084528398748
15319000,1.045705900945717914396482229,603385328334740821207162,203522647312911260713054,1081590084528398748
15319264,1.045711282590142898740737110,603377947662422869148482,203538629876760791628038,1081590084528398748
15319528,1.045723905398928454957285794,603588321103311383637185,203652953536590520553183,1081590084528398748
15319792,1.046189447366824287755093792,602346220226468659177365,204845792033090303847306,1081590084528398748
15320056,1.048277629939164068417767339,602983615913547918226948,212709760922162135802005,1081590084528398748
15320320,1.048107176685975083785251627,603572868982762522471810,212266322234684274200819,1081590084528398748
15320584,1.048165813236522359019886608,603536170416798627069510,212476898689264421921883,1081590084528398748
15320848,1.048220668528310195455333087,603739564810114732609571,212325196319448786961645,1081707134179504952
15321112,1.048282904518929692372353202,603751342420176589947729,212566618049522803426909,1081707134179504952
15321376,1.048383725640716912508310088,603459847439343746561298,212849583333200863994297,1081707134179504952
15321640,1.048409831925226187721023052,603384556115427927750128,212923140253227718847198,1081707134179504952
15321904,1.048308460538269315520665259,603304491733985684989118,212506844602920818498051,1081707134179504952
15322168,1.048292615081870993165580330,603350532595074117027383,212462559479424898401712,1081707134179504952
15322432,1.048266791095024741409247326,603400655421912911244372,212381689074426914718283,1081707134179504952
15322696,1.048236089861433351089203825,603492989636277139655608,212297189252833991834915,1081707134179504952
15322960,1.048467221158115636470142817,604344509990684876797999,213482726574951870865402,1081707134179504952
15323224,1.048657414878824800652523663,603788920813157523297824,214021716124897626501699,1081707134179504952
15323488,1.048687085322019374444835194,603726063199977781571657,214114686869149433243589,1081707134179504952
15323752,1.048789394803886887430621755,603425359293326967991385,214406427385209200032555,1081707134179504952
15324016,1.048751734268130064720025985,603536031940535776168929,214298864085224963541982,1081707134179504952
15324280,1.048790557523933131278681685,603415014060703378826748,214407289551976768534199,1081707134179504952
15324544,1.048826197869649146099391146,603282469785016308666554,214499378542345008892420,1081707134179504952
15324808,1.048890987858301926394233305,603092013120841787015626,214685173849568737630145,1081707134179504952
15325072,1.048901568676474216346150570,603060745108268860320336,214715512272432729557546,1081707134179504952
15325336,1.048904480228214808334996633,603052760172430813010937,214724083742949998273048,1081707134179504952
15325600,1.048915553862118432704164661,603086092921165782264764,214779381327916516313175,1081707134179504952
15325864,1.050384853599836798565547724,585931320293536423389950,214461277672858382655979,1081707134179504952
15326128,1.050257726052955309370418036,586317969725666773157701,214085771723308873958840,1081707134179504952
15326392,1.050239340528899667503992532,586212591020060071246355,213972786562522803985529,1081707134179504952
15326656,1.050235978033719153046376960,586298619902336997162330,213990566064580896748506,1081707134179504952
15326920,1.050194534624724784777072273,586461601564083088935305,213882289485215603731452,1081707134179504952
15327184,1.050302448458566795252977499,586524295535503247438052,213882919448739761760641,1081823949823189176
15327448,1.050341169678487007743683534,563082839191062258336273,205485176329058191818579,1081823949823189176
15327712,1.050342128210807413069005634,562856570924337211765044,205406330568811229342825,1081823949823189176
15327976,1.050331971974753031418003957,562886270182022691990407,205377698152639380133404,1081823949823189176
15328240,1.050222056897133438013725026,563022296561677950380358,205001244552490245334354,1081823949823189176
15328504,1.050220612349597182344496105,563026867799785463853032,204997323580750676123693,1081823949823189176
15328768,1.050609299407171182139109078,561938609628962367725473,206114620189329676934418,1081823949823189176
15329032,1.050995437154420120151598894,560797102579410276646014,207223873485558431409118,1081823949823189176
15329296,1.051012973939073891216366974,560744893804077019988109,207274628715393596331106,1081823949823189176
15329560,1.051024361978643462123272911,560797224788062156985236,207339494896656685624541,1081823949823189176
15329824,1.051004884510764458838139035,560855261362733007712837,207283099858636326170063,1081823949823189176
15330088,1.051001265220998570626420587,560764668102206150393993,207235161884817789510874,1081823949823189176
15330352,1.050797793925266621073433271,561377343692924742276619,206651935467773380917406,1081823949823189176
15330616,1.050793947995185106947246823,561389006003777265919887,206640999083708082448027,1081823949823189176
15330880,1.050765221105302904547329490,561415662294143633788839,206537137137852352614105,1081823949823189176
15331144,1.050781565290470398466027291,561428382724735840704018,206606474267436662040575,1081823949823189176
15331408,1.051008393641181593025635266,562011523367694754625295,207724484141293254963154,1081823949823189176
15331672,1.051004504933318317583257340,562024548852352511481903,207713728701924050055366,1081823949823189176
15331936,1.050964956438967812246687572,559975408581217636297436,206798800333168190352977,1081823949823189176
15332200,1.050234657180193487135966279,562115753627364737584121,204719821976242242146095,1081823949823189176
15332464,1.051553180587855518268725064,558241060658441327884216,208525851891443448275531,1081823949823189176
15332728,1.051520085421619787879876640,558347220661896474779547,208430510656750445460782,1081823949823189176
15332992,1.051564127862846920180572852,558210298482811954835812,208559051330661334226941,1081823949823189176
15333256,1.051544640782545281254556357,558187994142318401114806,208471184811434264652726,1081823949823189176
15333520,1.051726031701738506285437325,558025089839749058053607,208687935223227904081064,1081940643580143010
15333784,1.051711276532384609083692339,558075981865641523396740,208646618861021495310285,1081940643580143010
15334048,1.051669001948105197641325503,558161562751746062199666,208505920710961946432000,1081940643580143010
15334312,1.051470337908155361361650648,558778416802904663706179,207928557026040621894189,1081940643580143010
15334576,1.054882646374702970248904421,547799450324407182265598,218577826657285326187378,1081940643580143010
15334840,1.054858093205899960409510641,547883391512632579993797,218495978099718934653040,1081940643580143010
15335104,1.054716759082471533304214972,548428210323716861966687,218051498974816917362304,1081940643580143010
15335368,1.054355761116593681592235043,548417627045267095221884,216378770034850616695725,1081940643580143010
15335632,1.054112126934893645113788807,548511726605336018789794,215306935926661371273804,1081940643580143010
15335896,1.054097923823294147283036182,549426271207479497473348,215601587680669771652532,1081940643580143010
15336160,1.054142536388604112218558839,549274459650270544691561,215744187155828022417497,1081940643580143010
15336424,1.054123980528389292743440819,549343952238353559620128,215687325948287202301832,1081940643580143010
15336688,1.054118034506470236166819632,549389973659622662969065,215678442672984790597978,1081940643580143010
15336952,1.054158558643510046337610220,549275753839789170183444,215817416148538201948202,1081940643580143010
15337216,1.054138359669828162168414565,549330558781493756677111,215747272572879948660917,1081940643580143010
15337480,1.054140148604805649057425398,549325115131163982009546,215753250165363040397377,1081940643580143010
15337744,1.054126288032935399030520784,549375805524710507167838,215710293888109324650598,1081940643580143010
15338008,1.054128931293765392140926451,549367042338474068396150,215718838116148479133270,1081940643580143010
15338272,1.054158675178026527419206104,549371100051354324020810,215855407994184786081104,1081940643580143010
15338536,1.054182518381293398590514698,549363185691130150396042,215960643862379240676904,1081940643580143010
15338800,1.054165371296513331600408492,549450948199607470605645,215917200631865086405649,1081940643580143010
15339064,1.054152249639721983243134673,549494608594244519332580,215874753346703218770411,1081940643580143010
15339328,1.053900580794636221426685552,550323209146869927178620,215063022556998959175271,1081940643580143010
15339592,1.053878944392226957305069845,550429622619248101205752,215007492656659534557012,1081940643580143010
15339856,1.053986160375215419549022045,550470717214713147639689,214995717765776518610413,1082057083787815413
15340120,1.054005401422826837531943056,550461458057014789418559,215078428771035899383213,1082057083787815413
15340384,1.053972773383897942878206777,550583947391293842602003,214979915341118459895713,1082057083787815413
15340648,1.053983815273810797918940807,550731405135798337478610,215087012545290507235825,1082057083787815413
15340912,1.053992011042035548129547351,550704474641427355120193,215113267862166086566595,1082057083787815413
15341176,1.053994050529376780289680937,550844286312551822910056,215177035684970411189456,1082057083787815413
15341440,1.053976371458600569397390245,550845198754257716568474,215098059867793946080588,1082057083787815413
15341704,1.054368378538725226079009190,550914378098603534447994,216901160737343425858019,1082057083787815413
15341968,1.054189646084426001948486373,551020007339083410490992,216128415532989778267841,1082057083787815413
15342232,1.054122115410700111226560693,551243830039291721525756,215910321607101613139703,1082057083787815413
15342496,1.054113296457855453169827342,551273757475583651363056,215882172606952269271235,1082057083787815413
15342760,1.054114610564437670703341610,551266782711522140626040,215885381187378048235303,1082057083787815413
15343024,1.054108400156048341855807848,551287558985123112730319,215865448074398915660206,1082057083787815413
15343288,1.054102893520600492394123648,551306537183635052037910,215847997240278409437713,1082057083787815413
15343552,1.054095799815011336164616296,551329998317784461575359,215825138308924973429508,1082057083787815413
15343816,1.054095177434172692088054646,551332057735744699932136,215823133547045042328633,1082057083787815413
15344080,1.054018114611734224794759029,551587442355745538320937,215575578423566905154920,1082057083787815413
15344344,1.053972382072911662120873189,551738100772442585657653,215428804673620747313521,1082057083787815413
15344608,1.054173981874138910086458054,551772534444417095988402,216352467293225421942901,1082057083787815413
15344872,1.054028072006455207798580886,552258596794291510325989,215882766077464211025513,1082057083787815413
15345136,1.054373511860081880087136597,551112777755804399386519,217002774476235813910917,1082057083787815413
15345400,1.054370266198051631079124490,551138814462358031826804,216998165507726456220898,1082057083787815413
15345664,1.054367566879798712164983954,551107370822464164703775,216973428486724801948641,1082057083787815413
15345928,1.054370395924933978548665436,551097909530669914057240,216982654079676299169066,1082057083787815413
15346192,1.054381930083333696046565819,551480784038396739639804,216668502192300779002046,1082173346547072511
15346456,1.052898389278759339049429400,556268014754560770138183,211977988113583015111715,1082173346547072511
15346720,1.052899792685352498011752687,556265807153516995248931,211983137453713810275238,1082173346547072511
15346984,1.052908575966707394044874491,556250728140817708218325,212014891846783699019583,1082173346547072511
15347248,1.052998526626291342367380821,555945622128905950106696,212283370698954547140927,1082173346547072511
15347512,1.053010918446862120845253230,555953739951367661180191,212339611257364111992781,1082173346547072511
15347776,1.053018924066586814447532561,555962741334555157451260,212377398120792050778958,1082173346547072511
15348040,1.052986495526947896550495898,556067656624836552955965,212278394882815586905833,1082173346547072511
15348304,1.052978986546137862845284872,556091415541833741160518,212255290215688243308404,1082173346547072511
15348568,1.052871590848156957420655999,555755995841976294909547,211668664601131679421527,1082173346547072511
15348832,1.052866054601699463688646574,555773408994989631222410,211651720496367044968840,1082173346547072511
15349096,1.053823830168029829223996785,552707948613272547012634,214637358588357848717387,1082173346547072511
15349360,1.054162516534287830083371773,551592909051461749541412,215718022303805266771564,1082173346547072511
15349624,1.053597395072376041724737661,551570083983747011047789,213197789498101866752703,1082173346547072511
15349888,1.053539160990101697379373036,551757445132902169803276,213015356751431160132391,1082173346547072511
15350152,1.053564300822362076459626223,551676644251074814912246,213094076323791264027663,1082173346547072511
15350416,1.053582291302597839788290912,551645781823559508787899,213160891690291173133669,1082173346547072511
15350680,1.053606604005394409284690482,551683068802526039719211,213281825159571618550972,1082173346547072511
15350944,1.052571477578152725484983421,562613751049253463008689,212996040130597538512712,1082173346547072511
15351208,1.052609945834827254174115296,562493008369044704953080,213113892647329612239374,1082173346547072511
15351472,1.052618488575406185958627248,562466118237802362717732,213140067467387732042302,1082173346547072511
15351736,1.051721514191549244898737925,569150906751557393651051,211891480867529216609555,1082173346547072511
15352000,1.051738744251036195009874064,569110972155556087965641,211947729962017421720761,1082173346547072511
15352264,1.051748283660379978954324542,569105263356370462232551,211985002177083674716503,1082173346547072511
15352528,1.051858344895174823818706500,569183735164370786790906,212004003561960138386873,1082289139342490162
15352792,1.051863366010246325643606724,569170814452172257770601,212019933385583343882013,1082289139342490162
15353056,1.051849702252789287015843911,569291986189589244146112,212008624696235506776742,1082289139342490162
15353320,1.051871563723552505109637423,569231680559054453240632,212076485647622096848394,1082289139342490162
15353584,1.051865748490352636679290299,569249560562792843530262,212059111944636032764912,1082289139342490162
15353848,1.051868279452892407377362360,569243568611237540011677,212067339697802870973560,1082289139342490162
15354112,1.051908098835316218711000147,569145135982008089624843,212195371554390346798412,1082289139342490162
15354376,1.051897461035715020116754204,569177875880058719887605,212163544490417325489601,1082289139342490162
15354640,1.051922460039038220713791816,569182685451905647480353,212268853024072306273968,1082289139342490162
15354904,1.051871744232003358376914548,569338763628226590983873,212117127343537969698349,1082289139342490162
15355168,1.051926824251017800193608309,570174297032114509494342,212656775216857507264943,1082289139342490162
15355432,1.051769305704954193814160135,569893024165877269549308,211900724165574995675147,1082289139342490162
15355696,1.051887137160154361836816861,569531987814608142002900,212252801552676225371270,1082289139342490162
15355960,1.051884979256017427218239391,569502909315497345742687,212233034344789810891770,1082289139342490162
15356224,1.051922106518579314027306282,569815532293348461892492,212503397455933770809843,1082289139342490162
15356488,1.051923305089448090754444820,569811837239077253763745,212506990992245845752718,1082289139342490162
15356752,1.052055525584837392116810406,569767086144639922488906,213040444824940209180163,1082289139342490162
15357016,1.052058223295227801230566911,569767123228565871854001,213051719560122902363465,1082289139342490162
15357280,1.052031842779652892616581994,569824377738558689648592,212963061437480308998001,1082289139342490162
15357544,1.052032569880362533609741149,569836343537251321778498,212970565332250661098286,1082289139342490162
15357808,1.051967102924726171764291394,570045272051479447913223,212775986750150842158721,1082289139342490162
15358072,1.051963335037378710623556799,570056919871160164074672,212764667162002748155800,1082289139342490162
15358336,1.051966415546661703928066345,570109719156307724753837,212797183638269530284304,1082289139342490162
15358600,1.052193300581910406776842137,569727198225979283063358,213602459394201483586300,1082289139342490162
15358864,1.052250983962453201314701801,569921778766958674957653,213444783417213593572093,1082404998172170625
15359128,1.052255307726584820926518660,569908328596019545523313,213457869521061903613679,1082404998172170625
15359392,1.052279410899726652672825367,569914268270503805264110,213561194454643869921993,1082404998172170625
15359656,1.052279878425793402385579611,569929124756807778921389,213568723770781276797312,1082404998172170625
15359920,1.052358721062335300544532402,569938205078692002676593,213903669675288873401160,1082404998172170625
15360184,1.052363830899794461259944001,569922561217349465422609,213919328670772126342314,1082404998172170625
15360448,1.052328668605381434275614083,570032433817224802736303,213812491209319541556809,1082404998172170625
15360712,1.052328775706482311136369390,570033955226016119712810,213813512522947703756266,1082404998172170625
15360976,1.052350391754357739060310450,570040955066946392821166,213907141220699473735894,1082404998172170625
15361240,1.052353006755395004034880913,570069540634952022539421,213928883950813423707304,1082404998172170625
15361504,1.052352168956110389785862935,570072863974489707767250,213926601569390569516272,1082404998172170625
15361768,1.052194802898691161630040369,570590825865815760521939,213459923593899396347137,1082404998172170625
15362032,1.052193205351801497116071005,570595221545792803456991,213454882682657551983985,1082404998172170625
15362296,1.052218244937626945301190062,570358856548198768451522,213471260762551773615929,1082404998172170625
15362560,1.052117927927062712711858694,570670276609183699630183,213168479577337661580235,1082404998172170625
15362824,1.052120043378544256285067604,570663649566022080299051,213174826118698964336916,1082404998172170625
15363088,1.052102031139847015950294917,570656081148416003047891,213096912521829850594374,1082404998172170625
15363352,1.052079772038707838888171864,570730543662370916685852,213032005665394884459767,1082404998172170625
15363616,1.052081747132822098222959539,570726135027854222434574,213038582646820037393157,1082404998172170625
15363880,1.052102759480822546933609374,570735802695551259748475,213129717755436429336502,1082404998172170625
15364144,1.051941687245728784816378720,571388859966367174812635,212704115884940194140658,1082404998172170625
15364408,1.051944036957611627869368931,571382368638881400529624,212711428676073252114260,1082404998172170625
15364672,1.051879198609824150878466753,571626922801713288956380,212534283428905710438316,1082404998172170625
15364936,1.051883300203469984168691553,571627079954057541021019,212551282527975793912770,1082404998172170625
15365200,1.051985078786929594940602328,571703829582028411548466,212536043743635729449728,1082520637978254527
15365464,1.051971542996577690942672234,571753365496737333449027,212498586980938233782477,1082520637978254527
15365728,1.051963369245332291512795564,571779057802514871983777,212474412590756102302053,1082520637978254527
15365992,1.051962150219847735854727944,571767640981817133911995,212465141863502405353939,1082520637978254527
15366256,1.051888705324453221479075182,571992817603994634700583,212246287716432222587492,1082520637978254527
15366520,1.051791493055062254313725134,571987183347045005480243,211845387282458391769436,1082520637978254527
15366784,1.051794416042376667519420153,571993093652130902935398,211859541110890081375955,1082520637978254527
15367048,1.051883244684684193259727181,571696463630436261895916,212113882252862190131910,1082520637978254527
15367312,1.051774438021124691289287512,572031524578966812129951,211792025568450141110734,1082520637978254527
15367576,1.051769989121422055333709977,572045085247434235587141,211778851545705776794946,1082520637978254527
15367840,1.051793847590215325027429571,571972428484180767961035,211849560071969024215532,1082520637978254527
15368104,1.051793238037645794591412596,571971458803888589105742,211846705823255340884877,1082520637978254527
15368368,1.051783600933279716471702159,572004569735608157890055,211819528891858702642394,1082520637978254527
15368632,1.051808276432768529673467128,572298336511499201285985,212029387554879355503492,1082520637978254527
15368896,1.051799404540802784779884860,572325423077190941015921,212003067071317727749055,1082520637978254527
15369160,1.051794636673142102623046412,572339975316892446140619,211988925345701649741830,1082520637978254527
15369424,1.051787839936954238595490096,572360760612699400628936,211968786843247092359108,1082520637978254527
15369688,1.051808979062678117699647373,572299433633621356672675,212032673816834061658024,1082520637978254527
15369952,1.051662049072576765595954384,572722981525495171705852,211589018904775843608021,1082520637978254527
15370216,1.051648440376822923880695271,572796463492251777904832,211560743975369433941261,1082520637978254527
15370480,1.051792480547904418131111015,578575319409514471068134,214289498657298050944897,1082520637978254527
15370744,1.051754180877139122074481747,578693386352900716136397,214174763524815318779048,1082520637978254527
15371008,1.051740299727637051319106831,578727543523953773681374,214130039494608329228070,1082520637978254527
15371272,1.051852787177400827545170614,578773849111171202825707,214148975051297429635607,1082635968420590851
15371536,1.051806478126783295223845016,579028132189633823991558,214051871447845345764825,1082635968420590851
15371800,1.051821157835295839078071367,578962725424345495389959,214088246180068869227144,1082635968420590851
15372064,1.051547743786401589716206217,579576141666331819743399,213192888175545661834401,1082635968420590851
15372328,1.051491576578640563255362395,579747001468535456469350,213026917851101313835343,1082635968420590851
15372592,1.051512894325267843953497504,579681123250100255796472,213089476811563118327407,1082635968420590851
15372856,1.051492068288997439040599602,579734412072904194353488,213024292443813402557346,1082635968420590851
15373120,1.051491736735156168336402516,579735419585733865819413,213023313718053409608496,1082635968420590851
